Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
111113,Interaction of Color,Josef Albers,"Albers, Josef",Nicholas Fox Weber,"=""0300115954""","=""9780300115956""",0,3.92,Yale University Press,Paperback,160,2006,1971,,2019/10/20,to-read,to-read (#55),to-read,,,,0,0
31944884,Visual Thinking: Empowering People and Organisations through Visual Collaboration,Willemien Brand,"Brand, Willemien",,"=""9063694539""","=""9789063694531""",0,4.02,Laurence King Publishing,Paperback,144,2017,,,2019/10/08,to-read,to-read (#54),to-read,,,,0,0
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0060521996""","=""9780060521998""",2,4.04,Collins,Paperback,320,2003,1997,2019/10/08,2019/10/02,,,read,,,,1,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",0,4.35,Viking,Hardcover,464,2014,2014,,2019/10/02,to-read,to-read (#53),to-read,,,,0,0
41007632,Watches: An Identification Manual for Contemporary and Collector's Pieces,Fabrice Gueroux,"Gueroux, Fabrice",,"=""2940506248""","=""9782940506248""",4,4.00,Watchprint com Sarl,Hardcover,300,2018,,2019/09/29,2019/09/26,,,read,,,,1,1
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",0,4.19,W. W. Norton & Company,Paperback,288,2018,1988,,2019/09/26,to-read,to-read (#52),to-read,,,,0,0
13436116,Lean UX: Applying Lean Principles to Improve User Experience,Jeff Gothelf,"Gothelf, Jeff",Josh Seiden,"=""1449311652""","=""9781449311650""",0,3.99,O'Reilly Media,Hardcover,148,2013,2012,,2019/09/26,to-read,to-read (#51),to-read,,,,0,0
1867,The Elements of User Experience: User-Centered Design for the Web,Jesse James Garrett,"Garrett, Jesse James",,"=""0735712026""","=""9780735712027""",0,4.01,Peachpit Pr,Paperback,240,2002,2002,,2019/09/26,to-read,to-read (#50),to-read,,,,0,0
13515351,Quantifying the User Experience: Practical Statistics for User Research,Jeff Sauro,"Sauro, Jeff",James R.  Lewis,"=""0123849683""","=""9780123849687""",0,4.26,Morgan Kaufmann,Paperback,312,2012,2012,,2019/09/26,to-read,to-read (#49),to-read,,,,0,0
17869520,Interviewing Users: How to Uncover Compelling Insights,Steve Portigal,"Portigal, Steve",,"=""1933820810""","=""9781933820811""",0,4.13,Rosenfeld Media,Kindle Edition,176,2013,2013,,2019/09/26,to-read,to-read (#48),to-read,,,,0,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,,2019/09/26,to-read,to-read (#47),to-read,,,,0,0
100247,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,"Potts, Rolf",Timothy Ferriss,"=""0812992180""","=""9780812992182""",0,3.95,Villard Books,Paperback,205,2002,2002,,2019/09/26,to-read,to-read (#46),to-read,,,,0,0
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon, Daniela Caggiati","=""0062102427""","=""9780062102423""",0,4.05,Harper Business,Kindle Edition,240,2012,2012,,2019/09/26,to-read,to-read (#45),to-read,,,,0,0
10518163,Brand Thinking and Other Noble Pursuits,Debbie Millman,"Millman, Debbie",,"=""1581158645""","=""9781581158649""",2,3.85,Allworth,Hardcover,256,2011,2011,2019/09/08,2019/09/06,,,read,,,,1,1
164194,How To Be a Graphic Designer Without Losing Your Soul,Adrian Shaughnessy,"Shaughnessy, Adrian",Stefan Sagmeister,"=""1568985592""","=""9781568985596""",0,3.98,Princeton Architectural Press,Paperback,160,2005,2005,,2016/08/27,to-read,to-read (#44),to-read,,,,0,0
426289,How to Think Like a Great Graphic Designer,Debbie Millman,"Millman, Debbie",Steven Heller,"=""1581154968""","=""9781581154962""",2,4.01,Allworth,Paperback,248,2007,2007,2019/09/01,2017/01/10,,,read,,,,1,0
27412605,ആള്‍കൂട്ടത്തില്‍ തനിയെ [Aalkkoottathil Thaniye],എം.ടി. വാസുദേവന്‍നായര്‍ | M.T.Vasudevan Nair,"Nair, എം.ടി. വാസുദേവന്‍നായര്‍ | M.T.Vasudevan",,"=""""","=""""",5,3.55,Mathrubhumi Books,Paperback,164,2007,,2019/08/30,2019/08/15,,,read,,,,1,1
6671664,Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation,Tim    Brown,"Brown, Tim",,"=""0061766089""","=""9780061766084""",4,3.89,HarperBusiness,Hardcover,272,2009,2009,2019/08/28,2019/07/01,,,read,,,,1,1
43229637,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",,"=""""","=""""",3,4.18,Turtleback,Kindle Edition,42,2018,1918,2019/01/19,2019/01/09,,,read,,,,1,1
7442088,മഞ്ഞ് | Manju,എം.ടി. വാസുദേവന്‍നായര്‍ | M.T.Vasudevan Nair,"Nair, എം.ടി. വാസുദേവന്‍നായര്‍ | M.T.Vasudevan",,"=""""","=""""",5,3.89,DC Books,Paperback,95,,1964,2019/06/09,2019/06/09,,,read,,,,1,1
22340263,"Life Hacks: Any Procedure or Action That Solves a Problem, Simplifies a Task, Reduces Frustration, Etc. in One's Everyday Life (Life Hacks Series)",Keith Bradford,"Bradford, Keith",,"=""1440582858""","=""9781440582851""",4,3.75,Adams Media,Paperback,304,2014,2014,2019/06/06,2019/02/15,,,read,,,,1,1
26240629,Draplin Design Co.: Pretty Much Everything,Aaron James Draplin,"Draplin, Aaron James",,"=""1419720171""","=""9781419720178""",5,4.55,Abrams Books,Hardcover,256,2016,2016,2019/04/01,2019/04/01,,,read,,,,1,1
7795408,Ente Priyappetta Kadhakal,P. Padmarajan,"Padmarajan, P.",,"=""8126418613""","=""9788126418619""",5,3.95,D C Books,Paperback,124,2009,2008,2019/03/15,2019/03/05,,,read,,,,1,1
29513878,Inner Engineering: A Yogi's Guide to Joy,Sadhguru,"Sadhguru, Sadhguru",,"=""0812997808""","=""9780812997804""",2,4.19,Random House,Kindle Edition,278,2016,2016,2019/03/14,2019/02/08,,,read,,,,1,1
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",4,4.06,Crown Currency,Hardcover,260,2014,2011,2019/03/14,2019/03/08,,,read,,,,1,1
33395538,Astrophysics for People in a Hurry (Astrophysics for People in a Hurry Series),Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""""","=""""",0,4.08,W. W. Norton & Company,Kindle Edition,222,2017,2017,,2019/02/11,to-read,to-read (#43),to-read,,,,0,0
40884269,Writing Tools: 50 Essential Strategies for Every Writer,Roy Peter Clark,"Clark, Roy Peter",,"=""""","=""""",0,4.20,"Little, Brown and Company",Kindle Edition,295,2008,2006,,2019/02/11,to-read,to-read (#42),to-read,,,,0,0
4191136,Business adventures,John Brooks,"Brooks, John",,"=""0575003499""","=""9780575003491""",2,3.81,Littlehampton Book Services Ltd,Hardcover,408,1969,1969,2019/02/03,2016/09/11,,,read,,,,1,0
843074,Primer of Visual Literacy,Donis A. Dondis,"Dondis, Donis A.",,"=""0262540290""","=""9780262540292""",5,3.81,The MIT Press,Paperback,206,1973,1973,2019/01/29,2018/10/24,,,read,,,,1,1
676046,The Sciences of the Artificial,Herbert A. Simon,"Simon, Herbert A.",,"=""0262691914""","=""9780262691918""",0,4.30,MIT Press,Paperback,248,1996,1969,,2019/01/29,to-read,to-read (#41),to-read,,,,0,0
16868,Things That Make Us Smart: Defending Human Attributes In The Age Of The Machine (William Patrick Book),Donald A. Norman,"Norman, Donald A.",Tamara Dunaeff,"=""0201626950""","=""9780201626957""",0,3.88,Basic Books,Paperback,304,1994,1993,,2019/01/29,to-read,to-read (#40),to-read,,,,0,0
357312,Cognition in the Wild (Bradford Books),Edwin Hutchins,"Hutchins, Edwin",,"=""0262581469""","=""9780262581462""",0,4.12,Bradford Books,Paperback,402,1996,1995,,2019/01/29,to-read,to-read (#39),to-read,,,,0,0
29966388,Mukhaddima | മുഖദ്ദിമ,Ibn Khaldun,"Khaldun, Ibn",Muttanisseril Koyakutty,"=""8126419008""","=""9788126419005""",4,4.31,DC BOOKS,Hardcover,774,2014,1377,2019/01/26,2018/01/20,,,read,,,,1,1
16144853,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",5,4.09,Portfolio,Hardcover,350,2014,2014,2019/01/23,2019/01/23,,,read,,,,1,1
104311,"Trading for a Living: Psychology, Trading Tactics, Money Management",Alexander Elder,"Elder, Alexander",,"=""0471592242""","=""9780471592242""",0,4.05,Wiley,Hardcover,304,1993,1993,2019/01/14,2019/01/13,,,read,,,,1,1
29496432,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,"Sinek, Simon","David Mead, Peter Docker","=""0143111728""","=""9780143111726""",1,3.66,Portfolio,Paperback,256,2017,2017,2019/01/08,2019/01/08,,,read,It was waste of time and money. I had a lot of expectation about this book since Start with Why was so amazing piece of work. But this one disappointed me. It could be a 10 page booklet.,,,1,0
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",,"=""1607747308""","=""9781607747307""",3,3.88,Ten Speed Press,Hardcover,224,2014,2010,2018/11/29,2018/11/29,,,read,,,,1,1
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",4,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,2018/11/20,2018/10/17,,,read,,,,1,1
114683,Wall and Piece,Banksy,"Banksy, Banksy",,"=""1844137872""","=""9781844137879""",0,3.85,Century,Paperback,240,2006,2005,,2018/11/06,to-read,to-read (#38),to-read,,,,0,0
1031002,The World in Your Head: A Gestalt View of the Mechanism of Conscious Experience,Steven M. Lehar,"Lehar, Steven M.",,"=""0805841768""","=""9780805841763""",0,3.65,Psychology Press,Hardcover,,2002,2002,,2018/10/28,to-read,to-read (#37),to-read,,,,0,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,"Sharma, Robin",,"=""0062515675""","=""9780062515674""",1,3.89,HarperOne,Paperback,208,1999,1996,2018/10/28,2016/09/11,,,read,"This book is a glorified piece of shit. Author used best seller ingredients to cook this one up but it felt boring and full of cliches. <br/>It seemed author was trying to make a mystical feeling like alchemist by painting India as land of mysticism and enlightenment and throwing some words like yogi, sivana, ancient, etc. every now and then. But the pattern of narration failed the purpose. It felt like I was reading some interviews.<br/>These self help books supposed to leave some impact on readers life but this one failed for me since I wasn’t able to relate to any character or any conversation. Everything seemed out from pure imagination ",,,1,1
40518562,DesignOps Handbook,Kate Battles,"Battles, Kate","Meredith Black, Dave Malouf, Colin Whitehead, Gregg Bernstein","=""""","=""""",4,3.67,InVision,Unknown Binding,,2018,2018,2018/10/27,2018/10/27,,,read,,,,1,1
13129810,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,"Ferriss, Timothy",,"=""0547884591""","=""9780547884592""",3,3.94,New Harvest,Hardcover,671,2012,2012,2018/10/16,2018/10/05,,,read,,,,1,1
40229378,"The Pocket Universal Principles of Design: 150 Essential Tools for Architects, Artists, Designers, Developers, Engineers, Inventors, and Makers (Rockport Universal)",William Lidwell,"Lidwell, William",,"=""1627883665""","=""9781627883665""",0,4.39,Rockport Publishers,Kindle Edition,326,2015,2015,2018/01/01,2018/08/01,,,read,,,,1,1
35268819,Psychology for Designers: How to apply psychology to web design and the design process.,Joe Leech,"Leech, Joe",,"=""0995465460""","=""9780995465466""",0,3.13,mrjoe press,Kindle Edition,82,2017,2013,2018/08/15,2018/07/29,,,read,,,,1,1
8845183,മയ്യഴിപ്പുഴയുടെ തീരങ്ങളിൽ | Mayyazhippuzhayude Theerangalil,M. Mukundan,"Mukundan, M.",,"=""8171302319""","=""9788171302314""",0,4.19,,Hardcover,340,2009,1974,2018/08/15,2018/07/06,,,read,,,,1,1
34415640,As a Man Thinketh,James Allen,"Allen, James",,"=""164032013X""","=""9781640320130""",3,4.24,Chump Change,Paperback,26,1903,1902,2018/08/06,2018/08/05,,,read,,,,1,1
34220785,"The Pocket Universal Principles of Art: 100 Key Concepts for Understanding, Analyzing, and Practicing Art",John A. Parks,"Parks, John A.",,"=""1631593730""","=""9781631593734""",0,3.38,Rockport Publishers,Paperback,208,2017,,2018/01/01,2018/08/01,,,read,,,,1,1
27248112,"Think Like an Artist: and Lead a More Creative, Productive Life",Will Gompertz,"Gompertz, Will",,"=""1419721836""","=""9781419721830""",3,3.84,Abrams Image,Hardcover,208,2016,2015,2018/06/23,2018/06/04,,,read,,,,1,1
31361697,"Landscape Photography On Location: Travel, Learn, Explore, Shoot",Thomas Heaton,"Heaton, Thomas",,"=""""","=""""",5,4.37,Thomas Heaton,Kindle Edition,114,2016,,2018/05/20,2018/01/16,,,read,,,,1,1
12552558,യൂറോപ്പിലൂടെ | Europpiloode,S.K. Pottekkatt,"Pottekkatt, S.K.",,"=""8126403543""","=""9788126403547""",5,4.10,DC Books,Paperback,166,1955,1955,2018/05/19,2018/05/19,,,read,,,,1,1
26455951,കഥകൾ | Kathakal,Subhash Chandran,"Chandran, Subhash",,"=""8126464062""","=""9788126464067""",5,3.67,DC Books,Paperback,368,2015,2015,2018/01/11,2017/09/20,,,read,,,,1,1
17923352,Before They Pass Away,Jimmy Nelson,"Nelson, Jimmy",,"=""3832797599""","=""9783832797591""",0,4.64,teNeues,Hardcover,423,2013,2013,,2017/10/03,to-read,to-read (#36),to-read,,,,0,0
30686326,The Spy,Paulo Coelho,"Coelho, Paulo",Zoë Perry,"=""1524732060""","=""9781524732066""",3,3.38,Knopf,Hardcover,208,2016,2017,2017/09/10,2017/09/09,,,read,,,,1,1
2438053,പ്രേംപാറ്റ | Prempatta,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""8126402407""","=""""",4,3.33,DC Books,Paperback,112,2000,,2017/07/30,2017/07/16,,,read,,,,1,1
