Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,cover_url,cover_path
53330118,"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,"Kross, Ethan",,"=""0525575235""","=""9780525575238""",0,3.96,Crown Publishing Group,Hardcover,272.0,2021.0,2021.0,,2021/12/20,to-read,to-read (#105),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1606106010i/53330118.jpg,images/book-cover/0525575235.jpg
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.19,Harper,ebook,450.0,2017.0,2015.0,2021/12/20,2021/11/28,,,read,,,,1,0,,
2218102,Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0415922224""","=""9780415922227""",0,4.03,Routledge,Paperback,564.0,1999.0,1999.0,,2021/12/18,to-read,to-read (#103),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1364057072i/2218102.jpg,images/book-cover/0415922224.jpg
49912867,Grpc: Up and Running: Building Cloud Native Applications with Go and Java for Docker and Kubernetes,Kasun Indrasiri,"Indrasiri, Kasun",Danesh Kuruppu,"=""1492058335""","=""9781492058335""",0,3.59,O'Reilly Media,Paperback,200.0,2020.0,,,2021/12/14,to-read,to-read (#102),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1571122075i/49912867.jpg,images/book-cover/1492058335.jpg
17349126,Focus: The Hidden Driver of Excellence,Daniel Goleman,"Goleman, Daniel",,"=""0062114867""","=""9780062114860""",0,3.56,Harper,Hardcover,320.0,2013.0,2013.0,,2021/12/14,to-read,to-read (#101),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1363283508i/17349126.jpg,images/book-cover/0062114867.jpg
9068044,Social Engineering,Christopher Hadnagy,"Hadnagy, Christopher",,"=""0470639539""","=""9780470639535""",3,3.83,John Wiley & Sons,Paperback,410.0,2010.0,2010.0,2021/12/14,2021/09/10,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1349034191i/9068044.jpg,images/book-cover/0470639539.jpg
49541561,Data Science Programming All-In-One For Dummies,John Paul Mueller,"Mueller, John Paul",Luca Massaron,"=""1119626145""","=""9781119626145""",0,4.0,For Dummies,Kindle Edition,768.0,2019.0,,,2021/11/25,currently-reading,currently-reading (#3),currently-reading,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1576821041i/49541561.jpg,images/book-cover/1119626145.jpg
6713575,Coders at Work: Reflections on the Craft of Programming,Peter Seibel,"Seibel, Peter",,"=""1430219483""","=""9781430219484""",5,3.95,Apress,Paperback,632.0,2009.0,2009.0,2021/11/25,2019/11/02,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1349026758i/6713575.jpg,images/book-cover/1430219483.jpg
31433313,Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,"Lopp, Michael",,"=""1484221583""","=""9781484221587""",0,3.92,Apress,Kindle Edition,350.0,2016.0,2007.0,2021/11/16,2020/03/09,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1471019222i/31433313.jpg,images/book-cover/1484221583.jpg
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",5,3.96,Back Bay Books,Paperback,296.0,2007.0,2005.0,2021/10/31,2020/09/14,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440763417i/40102.jpg,images/book-cover/0316010669.jpg
40591670,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"Sethi, Ramit",,"=""1523505745""","=""9781523505746""",5,4.2,Workman Publishing Company,Paperback,352.0,2019.0,2009.0,2021/10/28,2021/10/17,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1552228430i/40591670.jpg,images/book-cover/1523505745.jpg
